"","n","r","lambda01","mu01","lambda02","mu02","lambda03","mu03","lambda04","mu04","lambda05","mu05","lambda06","mu06"
"63",20,20,2.39338812605367,1.49705198165866,2.39338812605367,1.49705198165866,2.18990212212732,1.4730304365385,2.14695311612407,1.47763313933241,3.52981388393512,1.61598793812409,2.55588422583086,1.51966689271778
"64",20,20,1.73955497092406,1.54637351206277,1.70192110620391,1.53766940451066,1.68883355962154,1.5359656553884,1.68603828733162,1.53855383179664,1.86516458601154,1.57184208407398,1.67421939853847,1.53471034914492
"65",20,20,1.04989618358023,1.29618012499617,1.01009307345958,1.27539442308438,1.00825589410972,1.2747748018145,1.11433632181822,1.33235097572654,1.49340541770671,1.46551603689841,1.15057941020264,1.34794005545206
"66",20,20,2.41040715336615,1.65191624763152,2.40568537859592,1.65148507436415,2.40568537859592,1.65148507436415,2.52249262714922,1.66342308253184,3.75623370933181,1.79179018368941,2.29289280198858,1.63173973505627
"67",20,20,1.57500944943599,1.3554206382918,1.57500944943599,1.3554206382918,1.57500944943599,1.3554206382918,1.48478076549236,1.33172378386544,2.02404950927885,1.45355058182613,1.48592958984107,1.33273995321461
"68",20,20,2.04049320715517,1.54588802513634,2.04049320715517,1.54588802513634,2.00047572353424,1.53918910829558,1.91693003855164,1.53211652773877,2.1626188265569,1.57194650763312,1.90813173475526,1.53066980598097
"69",20,20,1.87767810178708,1.46183840485943,1.80326861645726,1.45211142965471,1.78796732643698,1.44863616857518,1.55074584353504,1.40759144636452,1.88605955561288,1.47685915010952,1.56026881432702,1.4058581063075
"70",20,20,1.89631011156545,1.48942924604939,1.83702813141482,1.48149237890961,1.78026634752792,1.47137313596825,1.70021401011241,1.45320367095452,2.43512449251548,1.54323526655698,2.03399600364142,1.48965640240131
"71",20,20,2.0571862669525,1.43218542613053,2.09680397588272,1.43622003304632,2.03958403143571,1.4303552376965,2.30148037108011,1.45249428173967,2.37825518944937,1.45262218662938,2.34504552606946,1.45701998995138
"72",20,20,2.19481150213813,1.44262777913763,2.15024533898286,1.43830849383624,2.10649502702851,1.43327814835717,2.07919327750768,1.43151018976893,2.21890002953551,1.47208815850681,1.78165040013957,1.39373438358843
"73",20,20,2.177577271239,1.56371165568701,2.15331872621727,1.5603269191786,2.1492064034639,1.5597115467571,2.26778893490748,1.56841744042404,2.35463827289654,1.61193162298105,1.74428250694528,1.502570828012
"74",20,20,4.41453902238228,1.60503980227748,4.12782120264721,1.59764017228608,3.97163697864585,1.59165577172393,4.12712977322128,1.59387832824164,4.11061741137058,1.61664265130145,2.97209693298315,1.52707994134364
"75",20,20,2.24473943177431,1.54766380338623,2.11108575282209,1.5279612845111,2.05831795594475,1.51957576999268,2.00183469052027,1.504795579574,3.03289102545204,1.64891374069921,2.00133307354293,1.50525669539855
"76",20,20,2.05722581044529,1.55385833188295,2.05722581044529,1.55385833188295,1.97227741315951,1.54712729050014,2.22933674354782,1.57101898505254,2.9160815575439,1.69308337570725,1.75935861400968,1.50916851299081
"77",20,20,2.92696531689308,1.47772825873089,2.89584109962365,1.47521356010412,2.8689248989776,1.47372579933021,3.15725874850937,1.49464341325246,3.31755711642892,1.52457292387453,2.63720061016104,1.45709789446806
"78",20,20,2.04906680562762,1.51008062332029,2.04686542443352,1.50982911504071,2.00757643634384,1.50500878709463,2.14568603028783,1.52166308520796,2.49729189492355,1.55968272250029,2.28349574538847,1.53524937392255
"79",20,20,1.14408257496319,1.4067446146218,1.14408257496319,1.4067446146218,1.14408257496319,1.4067446146218,1.18718713264096,1.41981863777941,2.5321775543769,1.73342347273647,1.25900043511904,1.43307653277061
"80",20,20,3.48291577395021,1.63250207651558,3.45342556259042,1.63121884735509,3.48291577395021,1.63250207651558,3.64785846162497,1.63905287036841,3.68483250727624,1.63505146406212,3.67432691332085,1.64037662948361
"81",20,20,1.89392300666697,1.41876399744499,1.85531913946758,1.41129901496502,1.78984445045912,1.40088563853709,2.12107971570923,1.44833245358843,1.51902293067621,1.42090500038999,0.971056001746329,1.21137999371769
"82",20,20,2.15253444104707,1.39648802654556,2.02000874220514,1.37877679808706,1.92234888233193,1.36931640857427,1.63336666664177,1.31739240142118,2.1385815054542,1.42066663527221,1.57575026218111,1.305930812842
"83",20,20,2.07066047720559,1.62578127392769,1.93880046858219,1.60596454500467,1.87524211154711,1.59727501995634,1.73812356391646,1.56896769564319,2.79404742553452,1.74412073050917,1.72344089555623,1.56661061411367
"84",20,20,2.92339505565103,1.43180629914186,3.04943450117478,1.44272494729643,2.85258180555299,1.42535675771736,3.42740845311192,1.48022298341372,3.67900409927661,1.53157207704568,2.51263923723701,1.41651525298109
"85",20,20,1.9010837806957,1.43686640830381,1.78306921599572,1.41660314977249,1.80519541087901,1.42099253386559,1.95368379424571,1.45257745966634,2.08266707379774,1.46057168056096,2.06967307344459,1.4686246059935
"86",20,20,1.20137554308163,1.48078738862948,1.19859239350384,1.47975673572403,1.22204939971024,1.48833275918251,1.17732085501168,1.47287855882241,1.65004349747731,1.57413423043885,1.42698145933192,1.52333379452187
"87",20,20,1.95184605710783,1.49620416139977,1.91491151803232,1.49223976357007,1.8931773628626,1.48913644595758,2.16291090464376,1.5156281379644,2.51975591423161,1.55702756826686,2.24914668729896,1.52409584994429
"88",20,20,2.14123738561983,1.43005616305691,2.00023293483286,1.40736188152414,1.98280758420901,1.40380448644865,1.87279160272669,1.38879190602858,2.2374182966576,1.4515116511775,1.82582316161233,1.38081603494577
"89",20,20,2.64189097625167,1.46105664601399,2.59705363200249,1.45966971877426,2.587348573352,1.45874726346045,2.65786278859853,1.45874451741949,2.91076485191368,1.48087174585439,2.67152279000964,1.45943473089523
"90",20,20,1.69637297244899,1.51685104076786,1.59287464370261,1.4963076560871,1.53053574205901,1.49084890208022,1.44662282079755,1.46759102029773,4.76209356641773,1.81735683326604,1.92234021606983,1.5262348745602
"91",20,20,2.53488357672206,1.63351600085933,2.3072580061703,1.58948135007731,2.3072580061703,1.58948135007731,2.01562691340012,1.55623721568835,2.7092762410459,1.65740935970539,2.00424199922889,1.5560953936584
"92",20,20,2.93764305036845,1.70698253889438,2.83818992559636,1.69515261408334,2.82253063502102,1.69301518679718,2.54297614955067,1.66647299611054,4.03876291986634,1.80874569082701,2.38559738558909,1.64625626993043
"93",20,20,2.85340571482033,1.61774435497656,2.85340571482033,1.61774435497656,2.84512617771848,1.61720524491794,2.50294461499212,1.5725400269768,2.64546084407484,1.54146011818666,3.16108174097928,1.61095210188971
"94",20,20,5.01423126018558,1.70382319996968,4.97439823045171,1.7028201884654,4.96343322198795,1.70254196806268,4.63488430553245,1.69302507610896,5.22320258179235,1.71745938974071,4.61677461235788,1.69184286920922
"95",20,20,1.34754955680412,1.53448170994902,1.34754955680412,1.53448170994902,1.36242420719592,1.54062643336061,1.34651980879263,1.52472752132961,3.29853238526402,1.85686007723179,1.42349883151628,1.53094105616006
"96",20,20,2.23301921492179,1.58668650583226,1.97061911150948,1.55251978619773,2.01016133206815,1.55779635963673,1.97422604284678,1.55581344970446,3.76992847973343,1.77730943307046,1.9842441464229,1.55853494507511
"97",20,20,1.41375152204595,1.40701209221031,1.45726740388305,1.41651131378072,1.44223095973148,1.41258802948315,1.50043277745365,1.42686270516893,2.33643987555988,1.61480210488662,1.46933539760555,1.42721722062411
"98",20,20,1.95693420219067,1.42410289263067,1.68434575370752,1.39213929124334,1.58740911767823,1.38082097429547,1.42118994239489,1.34483245571443,1.69036530460089,1.4188407722042,1.13282780437456,1.2444526605398
"99",20,20,2.48548067916277,1.64908802719759,2.29941092231616,1.6190425330024,2.03797752052178,1.56905752708516,1.9719860534374,1.55922485890002,2.05249034569297,1.56254870274606,1.99122738755412,1.5612541458942
"100",20,20,1.17147021796019,1.35028558103633,1.15550373682569,1.34670995721995,1.12900919105306,1.34061009996434,1.10440073036078,1.34432961963734,1.41462077909141,1.45943106493951,1.11295571137104,1.35107137074432
"101",20,20,1.20916969613362,1.20930651349784,1.11936920333,1.17743021620887,1.12052797857018,1.17769222598073,1.18128490038959,1.22532046443593,1.65877968761556,1.37247094512195,1.20541765795242,1.23410801559945
"102",20,20,1.71613911446981,1.46822470684022,1.50124634549256,1.42432692586594,1.41127184676742,1.40196506761858,1.40608719938198,1.39363142261712,2.03380670954357,1.54671187218046,1.40156836467517,1.39670764601994
"103",20,20,1.51348416187408,1.5709766566853,1.36516276538264,1.53892164369325,1.31499565513274,1.53025334560128,1.32520259995815,1.53237225740272,1.70330971124704,1.63813128915276,1.32105338559488,1.53136816864551
"104",20,20,1.25551391941062,1.36044975940946,1.16774545224506,1.33186901300419,1.16774545224506,1.33186901300419,1.27913076585863,1.36283741257173,1.64906474290492,1.46505382021678,1.30679881037072,1.36902325449206
"105",20,20,1.63000599808417,1.4663799722181,1.62152680649423,1.4643357542523,1.62152680649423,1.4643357542523,1.53020594147763,1.45527173178344,1.93231668775852,1.53897828603385,1.5618418571726,1.46084022565035
"106",20,20,2.86059722964087,1.44310729189005,2.53437690084306,1.42029495006304,2.28636765453861,1.39853801201579,2.187558143635,1.39277030483886,2.87451275064777,1.47620157616984,2.27476956877109,1.40257149794956
"107",20,20,2.18145155247922,1.57250875014934,2.17755270810118,1.5720905727778,2.17755270810118,1.5720905727778,2.30007894653204,1.57190499345947,2.61431572610614,1.60443753453929,2.38515079760236,1.57959965251604
"108",20,20,2.39718237601787,1.5622220324728,2.30039640059006,1.5517665214382,2.30039640059006,1.5517665214382,2.18300209313996,1.54741466142391,2.73770275779789,1.62397767528493,2.15550653255166,1.54568700957015
"109",20,20,1.70321485268198,1.36048912841575,1.63310880608361,1.34327604769015,1.61857616340882,1.33817432801391,1.42961886645026,1.31156347163305,1.94268178044679,1.44595502282986,1.38574526323588,1.30836854448396
"110",20,20,3.52187544625396,1.73674155666439,3.36041724905538,1.72259545147555,2.8973301311889,1.69585298231666,3.20845955857327,1.71602566348807,3.53757212375397,1.73249715134894,3.3562554631928,1.72516282521335
"111",20,20,7.68003229276428,1.73376747332627,7.63665877771182,1.73288676923723,7.63665877771182,1.73288676923723,8.37035980824276,1.7457648897475,5.057974198005,1.61847958634397,6.45593292799138,1.68217035161036
"112",20,20,2.19338026891575,1.50644132289604,2.18346615777153,1.50500152556233,2.18917528921552,1.50583184050934,2.0488559307656,1.49640247415031,2.55315371835095,1.53018581042852,2.5597617762175,1.54068461510599
"113",20,20,1.74359895315111,1.50081895510558,1.73382472451979,1.50025989583712,1.69632207511111,1.49528302907522,1.59429390265184,1.48303785519386,2.00203544264587,1.5423704031462,1.82796465724781,1.51651498618072
"114",20,20,3.88276433547508,1.6237430455686,3.80835757980961,1.62007170383429,3.74209798099093,1.61671060291299,3.44545915585343,1.59413681407662,3.31338663983127,1.58036142319047,3.31873574581103,1.58757406917422
"115",20,20,2.49691264157298,1.49728653422178,2.34075034932369,1.47704575538563,2.24988186684474,1.46589495605287,2.46875869829228,1.48460939241564,2.14897348251107,1.46085749403865,1.82890856322508,1.40799160650846
"116",20,20,2.201529916977,1.38970108199679,1.93164146029767,1.34727051262256,1.90875618357182,1.34405539777394,1.86983304884251,1.336939900695,2.94612303920903,1.49275943602133,2.00598500857098,1.36355303279259
"117",20,20,3.16092075103176,1.57091407738978,2.8919615670823,1.55418968389074,2.85227519567116,1.55037039081538,2.8977736441898,1.55031254278555,3.45947803490969,1.62207392908382,2.52259952567487,1.52658484026445
"118",20,20,1.67214260334319,1.34050427214858,1.67214260334319,1.34050427214858,1.66786892492509,1.33966904854271,1.69993135512282,1.34706915903795,2.1225561787327,1.42863777649691,1.72871261051545,1.35334327386315
"119",20,20,1.23656160952925,1.34679843805515,1.21972306421111,1.34480456069373,1.2336789802909,1.34645999980555,1.09030059819681,1.31948209495173,4.26295829766827,1.86014997630271,1.2903426227982,1.36786346036162
"120",20,20,2.24756102772568,1.62628553560773,2.20455141173941,1.6210667913514,2.1274530953263,1.60985952628387,2.05563500808041,1.6066811397693,2.2561794641288,1.6457097374994,1.92268156886116,1.59296253628293
"121",20,20,2.50939112632973,1.53445691072893,2.48026296490377,1.53233304830724,2.4703312081685,1.53175731567543,2.34684954410808,1.5173695599654,2.60758171635826,1.5526503355446,2.23202050396693,1.50372267088036
"122",20,20,2.3839786769634,1.56755637647388,2.31062032414303,1.56206295666663,2.2604564372005,1.55610458835565,2.0356077848888,1.52148041887165,2.29638634922485,1.5580549074999,2.05324417159401,1.52406620552451
"123",20,20,1.82195643810711,1.55780475022222,1.78462567524867,1.55338469071459,1.75409065209011,1.55044995931439,1.99568890758771,1.60367021518977,2.02842915803194,1.5981743901968,2.02381099440824,1.60863603013909
"124",20,20,3.44434042206329,1.60134950197724,3.16946654339055,1.58469338919997,2.94190268235866,1.57262840769534,2.43444485842095,1.51392322053986,3.25975128295232,1.60549293824479,2.40277487132826,1.51062028226334
"125",20,20,2.68902639335499,1.57425343558487,2.63026352865195,1.56958953843982,2.63026352865195,1.56958953843982,2.79028831387613,1.58868584189389,2.70833270723961,1.57022494252014,2.81523592137849,1.59051963228977
"126",20,20,1.61753321724963,1.47696939757992,1.54294713436845,1.46068467698294,1.45584673851761,1.43797006604793,1.44592930992323,1.438193464844,3.24731085960541,1.82459211752126,1.12479901433677,1.35938814866652
"127",20,20,1.96654311167284,1.48243893823314,1.8449664861533,1.45851641843476,1.8449664861533,1.45851641843476,1.88366514359291,1.45648320301909,2.1324798937243,1.5207619271423,1.60067442043303,1.41206209973083
"128",20,20,3.23308612077265,1.63771949323964,3.28064180158491,1.64217621997757,3.28064180158491,1.64217621997757,3.51933772801957,1.6546308215436,3.75808541555273,1.65947064990857,3.75469394655434,1.6658499472351
"129",20,20,2.01087423883978,1.52102190646769,2.02209654642753,1.52290600283883,2.01520192331646,1.52175033908025,1.82030330365027,1.48822007124356,2.12364388645437,1.52222696219251,1.99572889686757,1.50791703497384
"130",20,20,1.37503706503554,1.36232835441618,1.35292241551352,1.35612319845554,1.34999603956555,1.35529068224961,1.42170735091336,1.36223114946903,3.57634500272599,1.72309103588698,1.45180765785327,1.36827923670137
"131",20,20,1.82366191372997,1.496069060081,1.86557073228032,1.50564304934569,1.86713655412545,1.50600526319533,1.89706488613448,1.51636690333274,2.25653174207982,1.57647814874945,1.8879303415674,1.515563698633
"132",20,20,4.18549916839449,1.71665654996591,3.92927731194319,1.70792663312218,3.61770478936277,1.69377760157624,4.02653411380212,1.71571486247355,3.43454955630353,1.66303278553608,4.01580495342807,1.71554334208936
"133",20,20,2.37411347809164,1.53511079472834,2.34407075527381,1.53080005087501,2.30049557656177,1.5250106520704,2.29758123889051,1.52631532907703,2.34238051139273,1.52562440398578,2.29400321397951,1.52510563933907
